0,000	36,000
0,250	52,000
0,500	52,000
0,750	59,000
1,000	71,000
1,250	78,000
1,500	91,000
1,750	101,000
2,000	109,000
2,250	116,000
2,500	119,000
2,750	134,000
3,000	137,000
3,250	150,000
3,500	160,000
3,750	164,000
4,000	175,000
4,250	177,000
4,500	190,000
4,750	194,000
5,000	199,000
5,250	208,000
5,500	218,000
5,750	218,000
6,000	229,000
6,250	228,000
6,500	234,000
6,750	242,000
7,000	250,000
7,250	250,000
7,500	261,000
7,750	265,000
8,000	270,000
8,250	273,000
8,500	278,000
8,750	279,000
9,000	307,000
9,250	290,000
9,500	296,000
9,750	297,000
10,000	306,000
10,250	310,000
10,500	311,000
10,750	311,000
11,000	317,000
11,250	324,000
11,500	324,000
11,750	321,000
12,000	339,000
12,250	328,000
12,500	339,000
12,750	339,000
13,000	342,000
13,250	341,000
13,500	343,000
13,750	346,000
14,000	343,000
14,250	349,000
14,500	350,000
14,750	350,000
15,000	350,000
15,250	350,000
15,500	350,000
15,750	350,000
16,000	350,000
16,250	350,000
16,500	350,000
16,750	350,000
17,000	350,000
17,250	350,000
17,500	350,000
17,750	350,000
18,000	350,000
18,250	350,000
18,500	350,000
18,750	350,000
19,000	350,000
19,250	350,000
19,500	350,000
19,750	350,000
20,000	350,000
20,250	350,000
20,500	350,000
20,750	350,000
21,000	350,000
21,250	350,000
21,500	350,000
21,750	350,000
22,000	350,000
22,250	350,000
22,500	350,000
22,750	350,000
23,000	350,000
23,250	350,000
23,500	350,000
23,750	350,000
24,000	350,000
24,250	350,000
24,500	350,000
24,750	350,000
25,000	350,000
25,250	350,000
25,500	350,000
25,750	350,000
26,000	350,000
26,250	350,000
26,500	350,000
26,750	350,000
27,000	350,000
27,250	350,000
27,500	350,000
27,750	350,000
28,000	350,000
28,250	350,000
28,500	350,000
28,750	350,000
29,000	350,000
29,250	350,000
29,500	350,000
29,750	350,000
30,000	0,000
